"coffeid","typeid","value"
18,2,"8.33"
18,3,"8.25"
18,4,"8.33"
18,5,"8.42"
18,6,"8.33"
18,7,"9.33"
18,8,"10"
18,9,"9.33"
18,10,"8.83"
18,11,"87.33"
18,12,"0.05"
18,13,"0"
18,14,"0"
18,15,"150"
18,16,"2"
18,17,NA
18,18,NA
19,1,"8.42"
19,2,"8.25"
19,3,"8.08"
19,4,"8.17"
19,5,"7.92"
19,6,"8"
19,7,"10"
19,8,"10"
19,9,"10"
19,10,"8.42"
19,11,"87.25"
19,12,"0.1"
19,13,"0"
19,14,"0"
19,15,"3"
19,16,"0"
19,17,"1450"
19,18,"1450"
20,1,"8.17"
20,2,"8.17"
20,3,"8"
20,4,"8.17"
20,5,"8.08"
20,6,"8.33"
20,7,"10"
20,8,"10"
20,9,"10"
20,10,"8.33"
20,11,"87.25"
20,12,"0"
20,13,"0"
20,14,"0"
20,15,"250"
20,16,"8"
20,17,"1700"
20,18,"2000"
21,1,"8"
21,2,"8.25"
21,3,"8.08"
21,4,"8.5"
21,5,"8.25"
21,6,"8"
21,7,"10"
21,8,"10"
21,9,"10"
21,10,"8.17"
21,11,"87.25"
21,12,"0"
21,13,"0"
21,14,"0"
21,15,"10"
21,16,"0"
21,17,"2019"
21,18,"2019"
22,1,"8.08"
22,2,"8.25"
22,3,"8"
22,4,"8.17"
22,5,"8"
22,6,"8.33"
22,7,"10"
22,8,"10"
22,9,"10"
22,10,"8.33"
22,11,"87.17"
22,12,"0.11"
22,13,"0"
22,14,"0"
22,15,"250"
22,16,"2"
22,17,"1300"
22,18,"1300"
23,1,"8.17"
23,2,"8.25"
23,3,"8.17"
23,4,"8"
23,5,"7.83"
23,6,"8.17"
23,7,"10"
23,8,"10"
23,9,"10"
23,10,"8.58"
23,11,"87.17"
23,12,"0.13"
23,13,"0"
23,14,"0"
23,15,"14"
23,16,"0"
23,17,"1320"
23,18,"1320"
24,1,"8.25"
24,2,"8.33"
24,3,"8.17"
24,4,"8.17"
24,5,"7.83"
24,6,"8.17"
24,7,"10"
24,8,"10"
24,9,"10"
24,10,"8.17"
24,11,"87.08"
24,12,"0"
24,13,"0"
24,14,"0"
24,15,"10"
24,16,"0"
24,17,"2112"
24,18,"2112"
25,1,"8.42"
25,2,"8.17"
25,3,"7.92"
25,4,"8.17"
25,5,"8.33"
25,6,"8"
25,7,"10"
25,8,"10"
25,9,"10"
25,10,"8.08"
25,11,"87.08"
25,12,"0.11"
25,13,"0"
25,14,"0"
25,15,"100"
25,16,"1"
25,17,NA
25,18,NA
26,1,"8.5"
26,2,"8.5"
26,3,"8"
26,4,"8"
26,5,"8"
26,6,"8"
26,7,"10"
26,8,"10"
26,9,"10"
26,10,"7.92"
26,11,"86.92"
26,12,"0.12"
26,13,"0"
26,14,"0"
26,15,"3"
26,16,"2"
26,17,"1250"
26,18,"1250"
27,1,"7.83"
27,2,"8.25"
27,3,"8.08"
27,4,"8.17"
27,5,"8.17"
27,6,"8.17"
27,7,"10"
27,8,"10"
27,9,"10"
27,10,"8.25"
27,11,"86.92"
27,12,"0.05"
27,13,"0"
27,14,"0"
27,15,"150"
27,16,"2"
27,17,NA
27,18,NA
28,1,"8.42"
28,2,"8.17"
28,3,"8.17"
28,4,"8.17"
28,5,"7.83"
28,6,"7.92"
28,7,"10"
28,8,"10"
28,9,"10"
28,10,"8.17"
28,11,"86.83"
28,12,"0.12"
28,13,"0"
28,14,"0"
28,15,"100"
28,16,"1"
28,17,"1950"
28,18,"1950"
29,1,"8.17"
29,2,"8.08"
29,3,"8.08"
29,4,"8"
29,5,"8.08"
29,6,"8"
29,7,"10"
29,8,"10"
29,9,"10"
29,10,"8.25"
29,11,"86.67"
29,12,"0.1"
29,13,"0"
29,14,"0"
29,15,"275"
29,16,"3"
29,17,"1400"
29,18,"1400"
30,1,"8"
30,2,"8"
30,3,"8"
30,4,"8.25"
30,5,"8"
30,6,"8.17"
30,7,"10"
30,8,"10"
30,9,"10"
30,10,"8.17"
30,11,"86.58"
30,12,"0"
30,13,"0"
30,14,"0"
30,15,"20"
30,16,"0"
30,17,"1200"
30,18,"1200"
31,1,"7.92"
31,2,"8.25"
31,3,"8"
31,4,"8.33"
31,5,"8"
31,6,"8.08"
31,7,"10"
31,8,"10"
31,9,"10"
31,10,"8"
31,11,"86.58"
31,12,"0.08"
31,13,"0"
31,14,"0"
31,15,"275"
31,16,"2"
31,17,NA
31,18,NA
32,1,"8.42"
32,2,"8.17"
32,3,"8.17"
32,4,"8"
32,5,"7.58"
32,6,"8"
32,7,"10"
32,8,"10"
32,9,"10"
32,10,"8.17"
32,11,"86.5"
32,12,"0.11"
32,13,"0"
32,14,"0"
32,15,"100"
32,16,"1"
32,17,NA
32,18,NA
33,1,"8.5"
33,2,"8.17"
33,3,"8"
33,4,"7.75"
33,5,"8"
33,6,"8"
33,7,"10"
33,8,"10"
33,9,"10"
33,10,"8"
33,11,"86.42"
33,12,"0.12"
33,13,"0"
33,14,"0"
33,15,"29"
33,16,"2"
33,17,"1300"
33,18,"1300"
34,1,"8.17"
34,2,"7.83"
34,3,"8"
34,4,"8.08"
34,5,"7.83"
34,6,"8"
34,7,"10"
34,8,"10"
34,9,"10"
34,10,"8.42"
34,11,"86.33"
34,12,"0"
34,13,"0"
34,14,"0"
34,15,"250"
34,16,"0"
34,17,"1300"
34,18,"1300"
35,1,"8"
35,2,"8.08"
35,3,"7.92"
35,4,"8"
35,5,"8.08"
35,6,"8.08"
35,7,"10"
35,8,"10"
35,9,"10"
35,10,"8.08"
35,11,"86.25"
